nom;prenom;age;commune_naissance;statut
Thomas;Jean;38;Nice;activité
Durand;Nathalie;41;Lyon;activité
Martin;Jean;56;Bordeaux;activité
Durand;Paul;26;Marseille;activité
Durand;Sophie;67;Nantes;retraité
Martin;Paul;21;Strasbourg;activité
Thomas;Paul;31;Bordeaux;activité
Richard;Anne;23;Montpellier;activité
Petit;Sophie;89;Lyon;retraité
Bernard;Claire;58;Lyon;activité
Thomas;Pierre;77;Lyon;retraité
Petit;Pierre;61;Paris;activité
Dubois;Luc;21;Toulouse;activité
Bernard;Nathalie;28;Lyon;activité
Leroy;Claire;31;Strasbourg;activité
Dubois;Sophie;28;Toulouse;activité
Durand;Nathalie;53;Strasbourg;activité
Thomas;Sophie;40;Nantes;activité
Martin;Claire;46;Strasbourg;activité
Leroy;Jean;86;Marseille;retraité
Martin;Luc;45;Marseille;activité
Moreau;Marie;38;Montpellier;activité
Martin;Pierre;79;Nantes;retraité
Durand;Anne;39;Toulouse;activité
Thomas;Sophie;26;Lyon;activité
Bernard;Nathalie;54;Bordeaux;activité
Leroy;Nathalie;56;Bordeaux;activité
Richard;Luc;26;Lyon;activité
Richard;Nathalie;27;Bordeaux;activité
Petit;Luc;79;Montpellier;retraité
Leroy;Marie;44;Nice;activité
Richard;Michel;23;Paris;activité
Moreau;Luc;64;Paris;retraité
Moreau;Jean;59;Marseille;activité
Thomas;Michel;70;Bordeaux;retraité
Robert;Pierre;24;Lyon;activité
Martin;Anne;52;Lille;activité
Leroy;Paul;82;Paris;retraité
Durand;Pierre;72;Lille;retraité
Durand;Michel;65;Paris;retraité
Moreau;Pierre;56;Toulouse;activité
Thomas;Luc;83;Bordeaux;retraité
Richard;Claire;33;Nantes;activité
Thomas;Nathalie;23;Paris;activité
Thomas;Marie;33;Strasbourg;activité
Leroy;Michel;53;Toulouse;activité
Thomas;Marie;71;Bordeaux;retraité
Moreau;Nathalie;50;Marseille;activité
Thomas;Claire;76;Marseille;retraité
Durand;Pierre;38;Lille;activité
Bernard;Nathalie;88;Montpellier;retraité
Moreau;Claire;78;Nice;retraité
Petit;Anne;49;Strasbourg;activité
Thomas;Claire;84;Strasbourg;retraité
